point,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,size,ratio
0,1.48936784671698e-14,37.85125373169906,4.82511043867449e-15,1.28548036181028e-16,1.73183526732916e-11,37.85035946077866,1.26463147801374e-13,100.58658752890518,75.70161319219842,5.584188635508326,1.0,0.0
1,29.539506564423,4.022421988306467,3.52061343079679e-12,3.52429027273227,7.93680736907072e-12,96.13979817439505,7.24283586260067e-13,98.05855408700418,92.11737618388123,3.2227474022092792,1.0,0.0
2,22.6908965732175,62.38404156472474,7.91498526465882e-13,1.1878396251133,1.83306196034475e-11,170.21670246244128,7.78750392727779e-13,95.63516890113917,107.83266089787553,1.9826048309096223,1.0,0.0
3,61.715945245354,7.065878173745213,3.07338315575802e-12,4.43547723812711,2.29629559106433e-11,71.89905160531985,2.26175471376058e-13,100.09391181314918,78.96492977896503,8.161554842208716,1.0,0.0
4,26.172200960697,40.94629079152747,5.00082390357734e-14,1.52615980193982,1.69121186561031e-11,13.822604869668364,2.33647653051305e-14,103.82156269750118,54.768895660180824,14.017659952909526,1.0,0.0
5,26.171500152656,40.94956755633386,1.64483588364175e-12,1.5262796331491,9.87226437676816e-12,13.819588991838964,6.96503912312559e-14,103.82152333821618,54.769156547775125,14.017744642909747,1.0,0.0
6,61.7230333019024,7.073490765765314,3.98201027729044e-12,4.4364859804485,9.87353266973111e-12,71.89549813712335,3.91271554905611e-13,100.09328771696018,78.96898890222883,8.161307977408796,1.0,0.0
7,22.6967272382024,62.397034336272036,4.7280080790809e-15,1.18862030832633,1.38105516926989e-11,170.24370502936128,8.11199301418406e-13,95.63300393454819,107.84667069555653,1.9812720468089537,1.0,0.0
8,29.5470955928217,4.023290555515496,3.29215570487711e-12,3.5254427612762,1.48368379319224e-11,96.15089879609906,5.04280349872675e-13,98.05697905297218,92.12760823940403,3.2217042158099503,1.0,0.0
9,0.00260666751711926,37.86606864173266,1.1691918744656e-12,0.000282861396929086,4.81431630514211e-12,37.841195104204466,2.88422288205942e-13,100.58572259804617,75.70726374391973,5.5836491694099095,1.0,0.0
10,4.60976675126061e-15,96.14007212275446,4.25498474007852e-14,2.3371228194139e-15,29.5383723219914,4.023166505079827,3.52415857921549,98.05862656503217,92.11690561775463,3.2228181121099624,1.0,0.0
11,123.672994118821,88.24285583189796,194.081687170275,26.9260910284807,123.671555948951,88.23965507524376,26.9258288396202,84.86385955714817,176.4825109161915,4.382492595890653,1.0,0.0
12,60.3709757290732,357.40969054708074,119.375613403742,16.6389138893678,386.077510648338,753.5397071622033,147.644520950965,49.39025986389518,396.13001659214456,15.650389220791112,1.0,0.0
13,137.136134066246,93.19915036369086,137.418657100842,20.1835527518055,81.6118381983028,39.56551449483666,15.3490400105221,91.71935318769718,132.76466485765351,2.8020630177088606,1.0,0.0
14,38.006261030345,64.94523242467346,16.0413903220354,2.911316679821,9.08906478807273,4.544038879113957,1.14690334276513,102.95604774511418,60.401193544749326,13.21676151660904,1.0,0.0
15,38.0020787971711,64.94603870569486,16.0370169670033,2.91116459728899,9.08676633317615,4.545451140874967,1.14672104883199,102.95614155974818,60.400587564966926,13.217029361509049,1.0,0.0
16,137.138090461158,93.21373530095056,137.412829814287,20.184902159539,81.6014724880494,39.551712646722166,15.3482859567925,91.71922203606417,132.7654479514015,2.8026290257093933,1.0,0.0
