point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-1.48936784671698e-14,37.5004953857628,4.82511043867449e-15,-1.28548036181028e-16,-1.73183526732916e-11,37.4996011148424,-1.26463147801374e-13,123.20204256777,-75.0000965003259,14272.4370019556,0.0,1.0
1,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,29.539506564423,-4.37318033424273,3.52061343079679e-12,-3.52429027273227,7.93680736907072e-12,95.7890398284588,-7.24283586260067e-13,125.730076009671,-91.4158594920087,14274.7984431889,0.0,1.0
2,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-22.6908965732175,-62.734799910661,-7.91498526465882e-13,1.1878396251133,-1.83306196034475e-11,169.865944116505,-7.78750392727779e-13,128.153461195536,-107.131144206003,14276.0385857602,0.0,1.0
3,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-61.715945245354,6.71511982780895,-3.07338315575802e-12,4.43547723812711,-2.29629559106433e-11,71.5482932593836,-2.26175471376058e-13,123.694718283526,-78.2634130870925,14269.8596357489,0.0,1.0
4,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-26.172200960697,40.5955324455912,5.00082390357734e-14,1.52615980193982,-1.69121186561031e-11,13.4718465237321,2.33647653051305e-14,119.967067399174,-54.0673789683083,14264.0035306382,0.0,1.0
5,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,26.171500152656,40.5988092103976,-1.64483588364175e-12,-1.5262796331491,-9.87226437676816e-12,13.4688306459027,-6.96503912312559e-14,119.967106758459,-54.0676398559026,14264.0034459482,0.0,1.0
6,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,61.7230333019024,6.72273241982905,3.98201027729044e-12,-4.4364859804485,-9.87353266973111e-12,71.5447397911871,-3.91271554905611e-13,123.695342379715,-78.2674722103563,14269.8598826137,0.0,1.0
7,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,22.6967272382024,-62.7477926822083,-4.7280080790809e-15,-1.18862030832633,-1.38105516926989e-11,169.892946683425,-8.11199301418406e-13,128.155626162127,-107.145154003684,14276.0399185443,0.0,1.0
8,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,-29.5470955928217,-4.37404890145176,-3.29215570487711e-12,3.5254427612762,-1.48368379319224e-11,95.8001404501628,-5.04280349872675e-13,125.731651043703,-91.4260915475315,14274.7994863753,0.0,1.0
9,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height2000-equator.txt,0.00260666751711926,37.5153102957964,1.1691918744656e-12,-0.000282861396929086,-4.81431630514211e-12,37.4904367582682,-2.88422288205942e-13,123.202907498629,-75.0057470520472,14272.4375414217,0.0,1.0
