point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00408750407003669,-0.311596994412218,9.20532113669924e-17,0.000586304489196614,8.18166064411874e-16,-0.311071822093712,-2.19671218606825e-16,206.727910141101,0.622668816506542,13723.0826995844,0.0,1.0
1,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00427106012108521,-0.31153079024593,1.54222994475735e-17,0.000672102556985849,5.87702629617493e-15,-0.311008686376175,-8.65057808371872e-17,206.727107647467,0.622539476622568,13723.082160688,0.0,1.0
2,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00434952627585276,-0.311430828267327,-6.16062017963528e-17,0.000744281332084239,3.13662399005488e-15,-0.310939363875392,-7.06950638437384e-17,206.72620204903,0.622370192142996,13723.0816044608,0.0,1.0
3,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.0042798607593192,-0.311298641258748,8.57653152226093e-17,0.000786588667657365,2.46547574023204e-16,-0.310866453754174,-1.55655856585134e-16,206.725221026501,0.622165095013362,13723.0810472223,0.0,1.0
4,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00402546021036345,-0.31114279169206,-1.20169623018152e-17,0.000784012696924376,2.30016201398231e-15,-0.31079363179729,-4.23025194517743e-17,206.724212702101,0.621936423489697,13723.0805105146,0.0,1.0
5,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.0035647089619739,-0.310977880912198,1.4225918349136e-18,0.000726249061170228,-5.57682426714085e-15,-0.310725289740029,2.61191079615336e-17,206.723241760356,0.621703170652887,13723.0800197066,0.0,1.0
6,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00289732157343966,-0.310822152121455,1.04690095907079e-16,0.000610197724979503,7.36701823676744e-16,-0.310666040695335,4.36493018379086e-17,206.72238171184,0.62148819281733,13723.0796016402,0.0,1.0
7,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00204700265235183,-0.310694326864164,-1.44220064764253e-17,0.000440973383299859,-4.721320990414e-15,-0.310620172724786,-9.67396329059136e-18,206.721704789283,0.621314499589462,13723.0792816433,0.0,1.0
8,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00106001870740267,-0.310610436571784,7.73108146782681e-18,0.000231365210067321,3.50499523068398e-15,-0.310591149895095,4.69628947275674e-17,206.721271643802,0.621201586466994,13723.0790805076,0.0,1.0
9,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,1.54969787002912e-13,-0.310581216822468,-2.1963564322304e-17,-6.87395019377535e-15,-1.96835549162028e-15,-0.310581216822468,-1.01618542682098e-17,206.721122560552,0.621162433645207,13723.0790118748,0.0,1.0
10,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00408750407002577,-0.311596994412213,-1.01442952752133e-15,0.000586304489193665,-5.45256114564685e-15,-0.311071822093706,-1.95310551043791e-16,206.727910141101,0.62266881650653,13723.0826995844,0.0,1.0
11,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00427106012103309,-0.311530790245931,7.06296940760341e-16,0.000672102556980335,-7.45287349630114e-15,-0.311008686376177,-6.51656327640623e-17,206.727107647467,0.622539476622569,13723.082160688,0.0,1.0
12,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.00434952627588862,-0.311430828267326,5.10286449334542e-16,0.000744281332085001,-2.8653999745859e-14,-0.310939363875391,3.24404979062335e-15,206.726202049029,0.622370192142993,13723.0816044611,0.0,1.0
13,tesseroid_vs_spherical_shell_files/effect-model-size1.0.tess-ratio0.0-height260000-pole.txt,-0.004279860759348,-0.311298641258744,2.50084645968084e-15,0.000786588667659321,-4.30740783752964e-14,-0.31086645375417,1.70677138871742e-15,206.725221026503,0.62216509501335,13723.0810472224,0.0,1.0
