difference,field,height,ratio,shell,size,tesseroid
-19.757432584304127,gxx,1,0,-16.57849600870437,0.1,-36.3359285930085
-18.692601093255856,gxx,100,0,-16.577687598282143,0.1,-35.270288691538
-11.274871803603915,gxx,1000,0,-16.570340753400586,0.1,-27.8452125570045
-0.06963337685368387,gxx,10000,0,-16.497103666466117,0.1,-16.5667370433198
1.816324868286756e-11,gxx,100000,0,-15.787277026647663,0.1,-15.7872770266295
1.3024248346482636e-11,gxx,250000,0,-14.689691007842423,0.1,-14.6896910078294
1.035616037370346e-11,gxx,500000,0,-13.070256879250856,0.1,-13.0702568792405
33.19090581740617,gxx,1,1,-16.57849600870437,0.1,16.6124098087018
18.150487840068802,gxx,100,1,-16.577687598282143,0.1,1.57280024178666
10.015243023836547,gxx,1000,1,-16.570340753400586,0.1,-6.55509772956404
2.1272793056469173,gxx,10000,1,-16.497103666466117,0.1,-14.3698243608192
1.816324868286756e-11,gxx,100000,1,-15.787277026647663,0.1,-15.7872770266295
1.3024248346482636e-11,gxx,250000,1,-14.689691007842423,0.1,-14.6896910078294
1.035616037370346e-11,gxx,500000,1,-13.070256879250856,0.1,-13.0702568792405
0.21140195087177105,gxx,1,2,-16.57849600870437,0.1,-16.3670940578326
0.30092155959124156,gxx,100,2,-16.577687598282143,0.1,-16.2767660386909
0.1981626254740867,gxx,1000,2,-16.570340753400586,0.1,-16.3721781279265
0.08593006743061693,gxx,10000,2,-16.497103666466117,0.1,-16.4111735990355
1.816324868286756e-11,gxx,100000,2,-15.787277026647663,0.1,-15.7872770266295
1.3024248346482636e-11,gxx,250000,2,-14.689691007842423,0.1,-14.6896910078294
1.035616037370346e-11,gxx,500000,2,-13.070256879250856,0.1,-13.0702568792405
-0.1388506930235316,gxx,1,3,-16.57849600870437,0.1,-16.7173467017279
0.033100389825044374,gxx,100,3,-16.577687598282143,0.1,-16.5445872084571
0.01697102495068492,gxx,1000,3,-16.570340753400586,0.1,-16.5533697284499
0.02152600304861707,gxx,10000,3,-16.497103666466117,0.1,-16.4755776634175
0.0019776907624624585,gxx,100000,3,-15.787277026647663,0.1,-15.7852993358852
1.3024248346482636e-11,gxx,250000,3,-14.689691007842423,0.1,-14.6896910078294
1.035616037370346e-11,gxx,500000,3,-13.070256879250856,0.1,-13.0702568792405
-0.23229913229582877,gxx,1,4,-16.57849600870437,0.1,-16.8107951410002
0.00799214598084319,gxx,100,4,-16.577687598282143,0.1,-16.5696954523013
0.0033610776380861296,gxx,1000,4,-16.570340753400586,0.1,-16.5669796757625
0.0033219154795176564,gxx,10000,4,-16.497103666466117,0.1,-16.4937817509866
0.0035362156325629,gxx,100000,4,-15.787277026647663,0.1,-15.7837408110151
1.3024248346482636e-11,gxx,250000,4,-14.689691007842423,0.1,-14.6896910078294
1.035616037370346e-11,gxx,500000,4,-13.070256879250856,0.1,-13.0702568792405
-0.21870466027893087,gxx,1,5,-16.57849600870437,0.1,-16.7972006689833
0.0018985574752434786,gxx,100,5,-16.577687598282143,0.1,-16.5757890408069
0.0016406068828871412,gxx,1000,5,-16.570340753400586,0.1,-16.5687001465177
0.0014448156870159323,gxx,10000,5,-16.497103666466117,0.1,-16.4956588507791
0.000730213008763414,gxx,100000,5,-15.787277026647663,0.1,-15.7865468136389
1.3024248346482636e-11,gxx,250000,5,-14.689691007842423,0.1,-14.6896910078294
1.035616037370346e-11,gxx,500000,5,-13.070256879250856,0.1,-13.0702568792405
-0.03194870349792822,gxx,1,6,-16.57849600870437,0.1,-16.6104447122023
0.0008501692053428656,gxx,100,6,-16.577687598282143,0.1,-16.5768374290768
0.00043571019118715526,gxx,1000,6,-16.570340753400586,0.1,-16.5699050432094
0.0008899915776154899,gxx,10000,6,-16.497103666466117,0.1,-16.4962136748885
