point,file,gx,gxx,gxy,gxz,gy,gyy,gyz,gz,gzz,pot,ratio,size
0,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-5.08043841243504,2.7404848105453,-2.12052597703405e-14,0.0124230210247725,1.13686837721616e-13,-0.206606660084432,-4.85722573273506e-16,110.58461569829,-2.53387815046079,14057.4116402705,0.0,30.0
1,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,47.1873520087921,3.2548466133364,-5.32907051820075e-15,-0.119123788202355,-2.8421709430404e-13,-0.331152660390712,6.52256026967279e-16,110.909483771057,-2.92369395294571,14091.3879026011,0.0,30.0
2,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,111.670908073604,4.08337558882102,-2.04281036531029e-14,-0.288924704192275,-4.9737991503207e-13,0.610316337695402,1.19348975147204e-15,112.199375452908,-4.69369192651679,14222.0359459854,0.0,30.0
3,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,172.906610452311,1.42661332578625,-4.70734562441066e-14,-0.47306244626821,-1.13686837721616e-12,8.23892846810348,2.88657986402541e-15,114.851910043892,-9.66554179388822,14465.1957107493,0.0,30.0
4,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,76.225435111689,-14.9950948790378,-6.3948846218409e-14,-0.226575704719103,-1.93267624126747e-12,32.6726682136262,5.21804821573824e-15,118.001247144307,-17.6775733345858,14713.5122904121,0.0,30.0
5,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-168.622990054691,-8.09993454109942,3.28626015289046e-14,0.474341559751021,-1.56319401867222e-12,23.0198013013826,4.32986979603811e-15,116.83786041539,-14.91986676028,14617.9156560515,0.0,30.0
6,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-182.094944873831,3.04466073122808,-5.40900657597376e-13,0.478167603915266,5.79802872380242e-12,4.1091121431894,-1.17683640610267e-14,113.174273788201,-7.15377287441751,14299.2911291344,0.0,30.0
7,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-122.721686626309,3.10515004469514,1.31006316905768e-14,0.307909964565529,-3.33955085807247e-13,0.435763793462939,8.32667268468867e-16,110.638209231875,-3.54091383815785,14044.9676186827,0.0,30.0
8,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-76.8170292572884,2.10877843121918,-2.55351295663786e-14,0.188409573739923,3.26849658449646e-13,0.028153251036973,-4.44089209850063e-16,109.139471027681,-2.13693168225612,13880.6717285351,0.0,30.0
9,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-43.7559349455908,1.58701111303333,2.77555756156289e-15,0.106107219237281,-7.105427357601e-14,-0.0288693551054251,1.73472347597681e-16,108.272655923221,-1.55814175792789,13781.183779594,0.0,30.0
10,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-15.9804346420647,1.45410043468299,1.4432899320127e-15,0.0383758639115636,-1.77635683940025e-14,-0.110849672090626,3.46944695195361e-17,107.851700444839,-1.34325076259235,13731.6017509177,0.0,30.0
11,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,12.1690872082567,1.6317787963593,5.13478148889135e-16,-0.0299890403428829,-4.08562073062058e-14,-0.260725013449893,1.87350135405495e-16,107.827707006568,-1.3710537829094,13728.0089051146,0.0,30.0
12,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,46.402366821738,2.21926429939759,-6.38378239159465e-16,-0.114116883097396,-1.77635683940025e-14,-0.518597733437709,6.24500451351651e-17,108.250069404431,-1.70066656595985,13775.5740040469,0.0,30.0
13,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,96.8578830590994,3.72583947141141,-2.16493489801906e-15,-0.242885805836699,-7.8159700933611e-14,-1.01724004952982,1.66533453693773e-16,109.312361664313,-2.70859942188157,13891.7803353403,0.0,30.0
14,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,193.98186203099,8.67524520598331,-1.11022302462516e-14,-0.520848634805363,-1.70530256582424e-13,-2.34822748608363,4.16333634234434e-16,111.673069955731,-6.32701771989907,14123.6282125868,0.0,30.0
15,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,509.382019206716,37.1879476306071,-1.59872115546023e-13,-1.97384536034348,-8.81072992342524e-13,-2.55503855810992,3.77475828372553e-15,120.031504260362,-34.6329090724745,14647.7430747886,0.0,30.0
16,tesseroid_vs_spherical_shell_files/effect-model-size30.tess-ratio0.000000.txt,-533.600011083323,-101.121824600455,4.54747350886464e-13,5.03438866550187,-5.11590769747272e-12,288.948017795002,4.61852778244065e-14,148.95000486058,-187.826193194176,15400.5843701771,0.0,30.0
